sample-id,absolute-filepath,direction
SRR17813193,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813193_1.fastq.gz,forward
SRR17813193,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813193_2.fastq.gz,reverse
SRR17813194,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813194_1.fastq.gz,forward
SRR17813194,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813194_2.fastq.gz,reverse
SRR17813195,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813195_1.fastq.gz,forward
SRR17813195,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813195_2.fastq.gz,reverse
SRR17813196,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813196_1.fastq.gz,forward
SRR17813196,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813196_2.fastq.gz,reverse
SRR17813197,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813197_1.fastq.gz,forward
SRR17813197,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813197_2.fastq.gz,reverse
SRR17813198,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813198_1.fastq.gz,forward
SRR17813198,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813198_2.fastq.gz,reverse
SRR17813199,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813199_1.fastq.gz,forward
SRR17813199,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813199_2.fastq.gz,reverse
SRR17813200,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813200_1.fastq.gz,forward
SRR17813200,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813200_2.fastq.gz,reverse
SRR17813201,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813201_1.fastq.gz,forward
SRR17813201,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813201_2.fastq.gz,reverse
SRR17813202,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813202_1.fastq.gz,forward
SRR17813202,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813202_2.fastq.gz,reverse
SRR17813203,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813203_1.fastq.gz,forward
SRR17813203,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813203_2.fastq.gz,reverse
SRR17813204,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813204_1.fastq.gz,forward
SRR17813204,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813204_2.fastq.gz,reverse
SRR17813205,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813205_1.fastq.gz,forward
SRR17813205,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813205_2.fastq.gz,reverse
SRR17813206,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813206_1.fastq.gz,forward
SRR17813206,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813206_2.fastq.gz,reverse
SRR17813207,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813207_1.fastq.gz,forward
SRR17813207,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813207_2.fastq.gz,reverse
SRR17813208,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813208_1.fastq.gz,forward
SRR17813208,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813208_2.fastq.gz,reverse
SRR17813209,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813209_1.fastq.gz,forward
SRR17813209,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813209_2.fastq.gz,reverse
SRR17813210,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813210_1.fastq.gz,forward
SRR17813210,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813210_2.fastq.gz,reverse
SRR17813211,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813211_1.fastq.gz,forward
SRR17813211,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813211_2.fastq.gz,reverse
SRR17813212,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813212_1.fastq.gz,forward
SRR17813212,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813212_2.fastq.gz,reverse
SRR17813213,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813213_1.fastq.gz,forward
SRR17813213,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813213_2.fastq.gz,reverse
SRR17813214,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813214_1.fastq.gz,forward
SRR17813214,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813214_2.fastq.gz,reverse
SRR17813215,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813215_1.fastq.gz,forward
SRR17813215,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813215_2.fastq.gz,reverse
SRR17813216,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813216_1.fastq.gz,forward
SRR17813216,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813216_2.fastq.gz,reverse
SRR17813217,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813217_1.fastq.gz,forward
SRR17813217,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813217_2.fastq.gz,reverse
SRR17813218,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813218_1.fastq.gz,forward
SRR17813218,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813218_2.fastq.gz,reverse
SRR17813219,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813219_1.fastq.gz,forward
SRR17813219,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813219_2.fastq.gz,reverse
SRR17813220,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813220_1.fastq.gz,forward
SRR17813220,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813220_2.fastq.gz,reverse
SRR17813221,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813221_1.fastq.gz,forward
SRR17813221,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813221_2.fastq.gz,reverse
SRR17813222,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813222_1.fastq.gz,forward
SRR17813222,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813222_2.fastq.gz,reverse
SRR17813223,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813223_1.fastq.gz,forward
SRR17813223,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813223_2.fastq.gz,reverse
SRR17813224,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813224_1.fastq.gz,forward
SRR17813224,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813224_2.fastq.gz,reverse
SRR17813225,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813225_1.fastq.gz,forward
SRR17813225,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813225_2.fastq.gz,reverse
SRR17813226,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813226_1.fastq.gz,forward
SRR17813226,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813226_2.fastq.gz,reverse
SRR17813227,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813227_1.fastq.gz,forward
SRR17813227,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813227_2.fastq.gz,reverse
SRR17813228,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813228_1.fastq.gz,forward
SRR17813228,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813228_2.fastq.gz,reverse
SRR17813229,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813229_1.fastq.gz,forward
SRR17813229,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813229_2.fastq.gz,reverse
SRR17813230,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813230_1.fastq.gz,forward
SRR17813230,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813230_2.fastq.gz,reverse
SRR17813231,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813231_1.fastq.gz,forward
SRR17813231,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813231_2.fastq.gz,reverse
SRR17813232,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813232_1.fastq.gz,forward
SRR17813232,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813232_2.fastq.gz,reverse
SRR17813233,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813233_1.fastq.gz,forward
SRR17813233,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813233_2.fastq.gz,reverse
SRR17813234,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813234_1.fastq.gz,forward
SRR17813234,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813234_2.fastq.gz,reverse
SRR17813235,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813235_1.fastq.gz,forward
SRR17813235,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813235_2.fastq.gz,reverse
SRR17813236,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813236_1.fastq.gz,forward
SRR17813236,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813236_2.fastq.gz,reverse
SRR17813237,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813237_1.fastq.gz,forward
SRR17813237,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813237_2.fastq.gz,reverse
SRR17813238,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813238_1.fastq.gz,forward
SRR17813238,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813238_2.fastq.gz,reverse
SRR17813239,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813239_1.fastq.gz,forward
SRR17813239,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813239_2.fastq.gz,reverse
SRR17813240,/Volumes/UBUNTU/16S_metagenomic/US/SRR17813240_1.fastq.gz,forward
