Tank	#SampleID	Larval_stage	Survival_condition	Number_of_ASVs	Number_of_clean_reads	Goods_coverage_(%)	Error_rate_(%)	GC_content_(%)	Phred_Q30_(%)
1	L5	Postlarvae_4	High	401	142272	99.998	0.03	53.76	88.45
1	L6	Postlarvae_7	High	372	162977	99.997	0.03	52.61	88.36
1	L7	Postlarvae_10	High	360	150414	99.998	0.03	53.19	88.6
2	L8	Mysis_3	High	409	168544	99.996	0.04	52.25	85.16
2	L9	Postlarvae_4	High	457	15748	99.993	0.03	54.13	88.82
2	L10	Postlarvae_7	High	373	166231	99.998	0.03	53.83	88.68
2	L11	Postlarvae_10	High	388	134468	99.992	0.03	53.57	88.73
3	L12	Mysis_3	High	358	16141	99.997	0.03	53.69	88.79
3	L14	Postlarvae_7	High	380	165966	99.999	0.03	54.17	88.9
4	L16	Mysis_3	High	415	160241	99.997	0.03	53.82	88.72
4	L17	Postlarvae_4	High	379	143608	99.996	0.03	53.6	88.77
4	L18	Postlarvae_7	High	340	133503	99.996	0.03	53.22	88.14
4	L19	Postlarvae_10	High	289	13684	100.0	0.04	53.19	85.46
5	L20	Mysis_3	High	382	163255	99.997	0.03	53.98	88.37
5	L21	Postlarvae_4	High	454	16139	99.998	0.04	53.48	85.41
5	L22	Postlarvae_7	High	377	145647	99.994	0.03	53.74	88.51
5	L23	Postlarvae_10	High	451	168784	99.997	0.03	53.5	88.14
6	L26	Postlarvae_4	High	376	135568	99.998	0.03	53.5	88.48
6	L27	Postlarvae_7	High	335	144642	99.999	0.03	53.32	87.7
6	L28	Postlarvae_10	High	395	157809	99.999	0.03	53.77	88.34
7	L32	Postlarvae_4	High	356	158595	100.0	0.03	53.82	88.23
7	L33	Postlarvae_7	High	434	157924	99.997	0.03	53.68	88.47
8	L38	Postlarvae_4	Low	349	145592	99.999	0.03	53.83	88.15
8	L39	Postlarvae_7	Low	358	160587	99.999	0.03	52.39	88.48
8	L40	Postlarvae_10	Low	360	146752	99.995	0.04	54.06	85.25
9	L44	Mysis_3	Low	309	13004	99.996	0.03	53.87	88.31
9	L45	Postlarvae_4	Low	399	136451	99.998	0.03	53.1	88.94
9	L46	Postlarvae_7	Low	397	147445	99.996	0.03	54.41	88.79
10	L47	Mysis_3	Low	331	147831	99.999	0.03	52.26	88.28
10	L48	Postlarvae_4	Low	445	15141	99.998	0.03	54.04	89.05
10	L49	Postlarvae_7	Low	482	160061	99.997	0.04	52.84	84.44
11	L50	Mysis_3	Low	347	141911	99.999	0.03	53.27	88.46
11	L51	Postlarvae_4	Low	431	143408	100.0	0.03	54.59	88.58
11	L52	Postlarvae_7	Low	435	153395	99.998	0.04	52.9	84.5
11	L53	Postlarvae_10	Low	466	167189	99.994	0.03	53.29	88.39
12	L54	Mysis_3	Low	370	134186	99.999	0.03	53.72	88.46
12	L55	Postlarvae_4	Low	437	157179	99.997	0.03	54.76	88.99
12	L56	Postlarvae_7	Low	452	139258	99.996	0.03	53.79	88.71
12	L57	Postlarvae_10	Low	375	133245	99.998	0.03	53.69	88.99
13	L58	Mysis_3	Low	376	140622	99.999	0.03	54.14	88.83
13	L59	Postlarvae_4	Low	447	146989	100.0	0.04	52.21	85.16
13	L60	Postlarvae_7	Low	381	130641	99.998	0.04	52.03	85.08
13	L61	Postlarvae_10	Low	443	139971	99.999	0.04	52.27	85.1
14	L62	Mysis_3	Low	342	138007	99.995	0.03	53.57	88.94
14	L63	Postlarvae_4	Low	412	13672	99.998	0.03	54.07	89.0
14	L64	Postlarvae_7	Low	407	134369	99.999	0.03	53.88	88.83
14	L65	Postlarvae_10	Low	436	139961	99.996	0.03	54.41	89.17
